id,strain,mu,T,filedic,n,nerr,totN,kap,kaperr,rhos,rhoserr,estsize,supsize,boxdims,com_ave,com_err,realmu
6da85d35-977a-4e41-8eae-ba5d024f5ad0,0.24,-88.8,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--088.800-0.00313-6da85d35-977a-4e41-8eae-ba5d024f5ad0.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--088.800-0.00313-6da85d35-977a-4e41-8eae-ba5d024f5ad0.dat'}",0.17272500000000002,0.01627151132273543,64,1253.9760897459682,124.40656148265589,N/A,N/A,800,N/A,"[24.39836, 21.1296, 10.0]",N/A,N/A,-88.8
271a5a9c-ac1e-4d4b-ba44-3c3666ca185d,0.22,-92.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--092.000-0.00313-271a5a9c-ac1e-4d4b-ba44-3c3666ca185d.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--092.000-0.00313-271a5a9c-ac1e-4d4b-ba44-3c3666ca185d.dat'}",0.045996875,0.00695486507561023,64,3483.1733575238814,564.019226404723,N/A,N/A,800,N/A,"[24.00484, 20.7888, 10.0]",N/A,N/A,-92.0
02228f68-6cfc-4ab4-9c23-45e591d70ba9,0.16,-97.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--097.031-0.00313-02228f68-6cfc-4ab4-9c23-45e591d70ba9.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--097.031-0.00313-02228f68-6cfc-4ab4-9c23-45e591d70ba9.dat'}",0.8595875000000001,0.03055389599808451,64,178.65953084822652,10.614721849576062,N/A,N/A,800,N/A,"[22.82427, 19.7664, 10.0]",N/A,N/A,-97.031
46c65067-e3f1-4a22-a6c3-8203f7624988,0.11,-106.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--106.400-0.00313-46c65067-e3f1-4a22-a6c3-8203f7624988.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--106.400-0.00313-46c65067-e3f1-4a22-a6c3-8203f7624988.dat'}",0.10681875,0.010346283880793835,64,1451.1169578204945,157.78901609076524,N/A,N/A,800,N/A,"[21.84047, 18.9144, 10.0]",N/A,N/A,-106.4
005aa597-54d3-404d-ad23-0cf820ad62f5,0.28,-84.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--080.815-0.00313-005aa597-54d3-404d-ad23-0cf820ad62f5.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--080.815-0.00313-005aa597-54d3-404d-ad23-0cf820ad62f5.dat'}",5.603131250000001,0.07139194322063983,16,5.515846924683115,0.40410568627261784,N/A,N/A,800,N/A,"[12.5927, 10.9056, 10.0]",N/A,N/A,-80.815
b1a4c9d8-4810-45f1-8347-805552391bf8,0.3,-81.6,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--081.700-0.00313-b1a4c9d8-4810-45f1-8347-805552391bf8.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--081.700-0.00313-b1a4c9d8-4810-45f1-8347-805552391bf8.dat'}",0.37496250000000003,0.0217988482782063,64,473.22802116028123,34.07750159847263,N/A,N/A,800,N/A,"[25.57893, 22.152, 10.0]",N/A,N/A,-81.7
2f2c234d-3f0c-4c18-85b8-40bc9d3e8139,0.06,-116.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--112.293-0.00313-2f2c234d-3f0c-4c18-85b8-40bc9d3e8139.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--112.293-0.00313-2f2c234d-3f0c-4c18-85b8-40bc9d3e8139.dat'}",0.59929375,0.03222594846529784,16,101.95146777465611,6.468173952916257,N/A,N/A,800,N/A,"[10.42833, 9.0312, 10.0]",N/A,N/A,-112.293
fe76a80f-4a0c-4b7a-ba9c-da3f230431a7,0.0,-128.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--128.600-0.00313-fe76a80f-4a0c-4b7a-ba9c-da3f230431a7.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--128.600-0.00313-fe76a80f-4a0c-4b7a-ba9c-da3f230431a7.dat'}",0.0162875,0.0041268269506411544,64,10043.468981417725,2780.1389693586684,N/A,N/A,800,N/A,"[19.6761, 17.04, 10.0]",N/A,N/A,-128.6
5bbd9c7a-0aaa-481d-9fe2-bbb830e74d47,0.02,-123.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--123.400-0.00313-5bbd9c7a-0aaa-481d-9fe2-bbb830e74d47.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--123.400-0.00313-5bbd9c7a-0aaa-481d-9fe2-bbb830e74d47.dat'}",0.034859375,0.005473709840744442,16,1187.9386198570382,196.1519768053305,N/A,N/A,800,N/A,"[10.03481, 8.6904, 10.0]",N/A,N/A,-123.4
f4145388-1dba-4d45-b03a-0662de5fc54d,0.22,-89.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--089.000-0.00313-f4145388-1dba-4d45-b03a-0662de5fc54d.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--089.000-0.00313-f4145388-1dba-4d45-b03a-0662de5fc54d.dat'}",1.29225625,0.0417011123987753,64,141.7958217365959,7.706229850699913,N/A,N/A,800,N/A,"[24.00484, 20.7888, 10.0]",N/A,N/A,-89.0
